ID,Language
1179,Arabic
1179,Pushto
1180,English
1181,English
1181,Chinese
1181,Khmer
1182,English
1183,English
1183,Cantonese
1183,Mandarin
1183,Portuguese
1184,English
1185,English
1186,Hindi
1187,English
1187,Catalan
1187,Spanish
1188,Hindi
1189,English
1190,English
1191,German
1191,English
1192,Mandarin
1192,English
1192,Mongolian
1193,English
1194,English
1196,Japanese
1196,English
1197,English
1198,Japanese
1200,Hindi
1202,English
1203,Spanish
1203,English
1204,English
1205,English
1206,Hindi
1206,English
1207,English
1208,English
1209,English
1209,Latin
1210,English
1211,English
1211,Armenian
1212,English
1213,French
1214,English
1215,English
1216,English
1217,Hindi
1218,English
1219,Hindi
1219,English
1220,English
1220,Afrikaans
1221,Japanese
1222,English
1223,Hindi
1224,Spanish
1224,English
1225,English
1226,English
1227,English
1228,English
1229,English
1230,French
1230,Arabic
1231,English
1232,Tamil
1233,Hindi
1234,English
1235,English
1236,English
1237,American Sign Language
1237,English
1238,English
1239,Turkish
1239,English
1240,English
1241,English
1242,English
1243,English
1244,Indonesian
1244,English
1245,English
1246,English
1247,English
1247,Italian
1247,French
1247,Danish
1248,English
1249,English
1250,English
1251,French
1251,Italian
1251,Hungarian
1252,Spanish
1252,French
1252,Afrikaans
1253,Japanese
1254,English
1254,Spanish
1255,English
1256,English
1256,French
1257,English
1258,English
1259,English
1260,Turkish
1261,Spanish
1262,Hindi
1263,Hebrew
1264,Japanese
1265,Indonesian
1266,Hindi
1266,Marathi
1266,Bengali
1266,English
1266,Portuguese
1267,Hindi
1268,English
1269,English
1270,English
1271,Hindi
1271,English
1272,English
1273,English
1274,Japanese
1275,Japanese
1276,English
1277,English
1278,English
1279,English
1280,English
1281,Hindi
1281,Marathi
1281,English
1282,English
1283,English
1284,Korean
1285,English
1286,Malayalam
1287,English
1288,English
1289,Hindi
1290,English
1290,Swedish
1290,French
1290,Vietnamese
1290,Russian
1290,Hebrew
1291,English
1292,Hindi
1292,English
1294,Turkish
1295,English
1296,English
1297,Japanese
1298,Spanish
1299,English
1299,Spanish
1300,Flemish
1300,Dutch
1301,English
1302,English
1303,English
1304,Hindi
1305,Hindi
